Origin,Visa Free,Visa Required
Afghanistan,27,199
Albania,117,109
Algeria,53,173
Andorra,170,56
Angola,50,176
Antigua and Barbuda,150,76
Argentina,171,55
Armenia,66,160
Australia,188,38
Austria,191,35
Azerbaijan,70,156
Bahamas,155,71
Bahrain,88,138
Bangladesh,40,186
Barbados,162,64
Belarus,80,146
Belgium,189,37
Belize,102,124
Benin,61,165
Bhutan,53,173
Bolivia,79,147
Bosnia and Herzegovina,119,107
Botswana,87,139
Brazil,170,56
Brunei,168,58
Bulgaria,177,49
Burkina Faso,58,168
Burundi,50,176
Cambodia,55,171
Cameroon,51,175
Canada,187,39
Cape Verde Islands,66,160
Central African Republic,53,173
Chad,54,173
Chile,176,50
China,81,145
Colombia,134,92
Comoro Islands,53,173
Congo (Dem. Rep.),43,183
Congo (Rep.),50,176
Costa Rica,151,75
Cote d'Ivoire,57,169
Croatia,176,50
Cuba,63,163
Cyprus,179,47
Czech Republic,189,37
Denmark,190,36
Djibouti,49,177
Dominica,144,82
Dominican Republic,70,156
Ecuador,93,133
Egypt,53,173
El Salvador,133,93
Equatorial Guinea,56,170
Eritrea,45,181
Estonia,183,43
Ethiopia,47,179
Fiji,88,138
Finland,191,35
France,190,36
Gabon,57,169
Georgia,116,110
Germany,192,34
Ghana,63,163
Greece,187,39
Grenada,145,81
Guatemala,134,92
Guinea,56,170
Guinea-Bissau,53,173
Guyana,87,139
Haiti,49,177
Honduras,134,92
Hong Kong (SAR China),172,54
Hungary,187,39
Iceland,183,43
India,60,166
Indonesia,73,153
Iran,45,181
Iraq,30,196
Ireland,189,37
Israel,160,66
Italy,192,34
Jamaica,86,140
Japan,193,33
Jordan,54,172
Kazakhstan,76,150
Kenya,73,153
Kiribati,124,102
Kosovo,42,184
Kuwait,98,128
Kyrgyzstan,64,162
Laos,51,175
Latvia,184,42
Lebanon,42,184
Lesotho,78,148
Liberia,50,176
Libya,41,185
Liechtenstein,181,45
Lithuania,185,41
Luxembourg,191,35
Macao (SAR China),145,81
Madagascar,55,171
Malawi,74,152
Malaysia,180,46
Maldives,91,135
Mali,54,172
Malta,187,39
Marshall Islands,123,103
Mauritania,59,167
Mauritius,147,79
Mexico,161,65
Micronesia,119,107
Moldova,121,105
Monaco,177,49
Mongolia,62,164
Montenegro,125,101
Morocco,66,160
Mozambique,62,164
Myanmar,48,178
Namibia,79,147
Nauru,90,136
Nepal,37,189
Netherlands,190,36
New Zealand,189,37
Nicaragua,128,98
Niger,54,172
Nigeria,46,180
North Korea,41,185
North Macedonia,126,100
Norway,189,37
Oman,83,143
Pakistan,32,194
Palau Islands,120,106
Palestinian Territory,39,187
Panama,144,82
Papua New Guinea,83,143
Paraguay,142,84
Peru,137,89
Philippines,67,159
Poland,187,39
Portugal,189,37
Qatar,102,124
Romania,177,49
Russian Federation,117,109
Rwanda,61,165
Samoa,132,94
San Marino,171,55
Sao Tome and Principe,60,166
Saudi Arabia,83,143
Senegal,57,169
Serbia,138,88
Seychelles,154,72
Sierra Leone,65,161
Singapore,194,32
Slovakia,185,41
Slovenia,184,42
Solomon Islands,132,94
Somalia,35,191
South Africa,106,120
South Korea,192,34
South Sudan,45,181
Spain,192,34
Sri Lanka,41,185
St. Kitts and Nevis,156,70
St. Lucia,146,80
St. Vincent and the Grenadines,151,75
Sudan,43,183
Suriname,78,148
Sweden,191,35
Switzerland,189,37
Syria,30,196
Taiwan (Chinese Taipei),147,79
Tajikistan,60,166
Tanzania,72,154
Thailand,80,146
The Gambia,69,157
Timor-Leste,95,131
Togo,55,171
Tonga,130,96
Trinidad and Tobago,150,76
Tunisia,71,155
Turkmenistan,53,173
Tuvalu,128,98
Türkiye,113,113
Uganda,67,159
Ukraine,145,81
United Arab Emirates,179,47
United Kingdom,190,36
United States,188,38
Uruguay,154,72
Uzbekistan,60,166
Vanuatu,98,128
Vatican City,155,71
Venezuela,128,98
Vietnam,56,170
Yemen,35,191
Zambia,70,156
Zimbabwe,66,160
eSwatini,75,151
