Origin,Visa Free,Visa Required
Afghanistan,27,199
Albania,115,111
Algeria,52,174
Andorra,169,57
Angola,50,176
Antigua and Barbuda,150,76
Argentina,171,55
Armenia,65,161
Australia,186,40
Austria,189,37
Azerbaijan,69,157
Bahamas,155,71
Bahrain,87,139
Bangladesh,40,186
Barbados,162,64
Belarus,79,147
Belgium,187,39
Belize,102,124
Benin,60,166
Bhutan,52,174
Bolivia,79,147
Bosnia and Herzegovina,118,108
Botswana,86,140
Brazil,170,56
Brunei,167,59
Bulgaria,175,51
Burkina Faso,57,169
Burundi,49,177
Cambodia,54,172
Cameroon,51,175
Canada,186,40
Cape Verde Islands,65,161
Central African Republic,52,174
Chad,52,174
Chile,175,51
China,81,145
Colombia,133,93
Comoro Islands,52,174
Congo (Dem. Rep.),42,184
Congo (Rep.),49,177
Costa Rica,150,76
Cote d'Ivoire,56,170
Croatia,175,51
Cuba,64,162
Cyprus,178,48
Czech Republic,187,39
Denmark,189,37
Djibouti,48,178
Dominica,144,82
Dominican Republic,70,156
Ecuador,92,134
Egypt,53,173
El Salvador,132,94
Equatorial Guinea,55,171
Eritrea,44,182
Estonia,182,44
Ethiopia,46,180
Fiji,87,139
Finland,190,36
France,188,38
Gabon,56,170
Georgia,115,111
Germany,191,35
Ghana,64,162
Greece,186,40
Grenada,145,81
Guatemala,133,93
Guinea,55,171
Guinea-Bissau,52,174
Guyana,87,139
Haiti,48,178
Honduras,133,93
Hong Kong (SAR China),172,54
Hungary,185,41
Iceland,181,45
India,60,166
Indonesia,72,154
Iran,44,182
Iraq,29,197
Ireland,188,38
Israel,160,66
Italy,190,36
Jamaica,86,140
Japan,193,33
Jordan,53,173
Kazakhstan,75,151
Kenya,72,154
Kiribati,123,103
Kosovo,41,185
Kuwait,97,129
Kyrgyzstan,63,163
Laos,50,176
Latvia,183,43
Lebanon,41,185
Lesotho,77,149
Liberia,49,177
Libya,40,186
Liechtenstein,179,47
Lithuania,184,42
Luxembourg,190,36
Macao (SAR China),144,82
Madagascar,54,172
Malawi,73,153
Malaysia,180,46
Maldives,89,137
Mali,53,173
Malta,186,40
Marshall Islands,122,104
Mauritania,58,168
Mauritius,146,80
Mexico,160,66
Micronesia,118,108
Moldova,120,106
Monaco,175,51
Mongolia,61,165
Montenegro,124,102
Morocco,65,161
Mozambique,61,165
Myanmar,47,179
Namibia,78,148
Nauru,89,137
Nepal,37,189
Netherlands,189,37
New Zealand,187,39
Nicaragua,127,99
Niger,53,173
Nigeria,46,180
North Korea,40,186
North Macedonia,125,101
Norway,187,39
Oman,82,144
Pakistan,32,194
Palau Islands,119,107
Palestinian Territory,38,188
Panama,143,83
Papua New Guinea,82,144
Paraguay,141,85
Peru,136,90
Philippines,67,159
Poland,185,41
Portugal,188,38
Qatar,100,126
Romania,176,50
Russian Federation,118,108
Rwanda,60,166
Samoa,131,95
San Marino,170,56
Sao Tome and Principe,59,167
Saudi Arabia,82,144
Senegal,56,170
Serbia,137,89
Seychelles,153,73
Sierra Leone,64,162
Singapore,193,33
Slovakia,184,42
Slovenia,183,43
Solomon Islands,131,95
Somalia,35,191
South Africa,106,120
South Korea,192,34
South Sudan,44,182
Spain,191,35
Sri Lanka,41,185
St. Kitts and Nevis,156,70
St. Lucia,146,80
St. Vincent and the Grenadines,151,75
Sudan,42,184
Suriname,77,149
Sweden,189,37
Switzerland,187,39
Syria,30,196
Taiwan (Chinese Taipei),146,80
Tajikistan,59,167
Tanzania,71,155
Thailand,79,147
The Gambia,68,158
Timor-Leste,94,132
Togo,54,172
Tonga,129,97
Trinidad and Tobago,150,76
Tunisia,71,155
Turkmenistan,52,174
Tuvalu,127,99
Türkiye,111,115
Uganda,66,160
Ukraine,144,82
United Arab Emirates,178,48
United Kingdom,188,38
United States,187,39
Uruguay,153,73
Uzbekistan,59,167
Vanuatu,97,129
Vatican City,154,72
Venezuela,128,98
Vietnam,55,171
Yemen,34,192
Zambia,70,156
Zimbabwe,65,161
eSwatini,74,152
